contrast	contrast_pretty	channel	frequency_hz	time_s	difference_db	in_corrected_cluster
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.56	0.0472490509989886	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.56	0.0243863626741446	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.56	-0.0125661804698981	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.6	-0.769324844273237	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.6	-0.761588941829709	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.6	-1.24299248250631	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.6	-0.950744120163458	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.6	-0.658598930897334	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.6	-0.521333524599098	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.6	-0.399952187668532	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.6	-0.252816408872604	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.6	-0.138041670111796	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.6	-0.0991998260410932	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.6	-0.0777704893396451	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.6	-0.0246719741620697	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.6	0.0345285556888065	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.6	-0.0149907764951842	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.64	-0.738607566660413	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.64	-0.750892781151029	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.64	-1.03393213107036	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.64	-0.749385318969591	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.64	-0.558795655576082	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.64	-0.491213718572488	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.64	-0.318999576516664	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.64	-0.15921948183901	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.64	-0.0662982436613395	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.64	-0.00714749459607097	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.64	0.00972014436355004	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.64	2.42997820560749e-05	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.64	-0.0485765727666708	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.64	-0.079820371304567	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.68	-0.69640502319313	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.68	-0.726668657215599	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.68	-0.834248086580863	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.68	-0.594928486057772	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.68	-0.466467268908253	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.68	-0.393109233387244	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.68	-0.190467986349876	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.68	0.019115112363719	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.68	0.15610141822925	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.68	0.187902596331416	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.68	0.103038898812464	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.68	-0.00486209866805718	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.68	-0.0756516845610279	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.68	-0.108333161913414	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.72	-0.643778088144385	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.72	-0.677743125706911	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.72	-0.680616742143264	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.72	-0.504079584032297	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.72	-0.379184233776938	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.72	-0.244136977976618	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.72	-0.0578657723963261	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.72	0.0697053730344543	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.72	0.129930867312046	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.72	0.117802159001048	0
