contrast	frequency_hz	time_s	cluster_member_channel_count
Memorize_minus_Ignore	10	1.32	40
Memorize_minus_Ignore	12	1.32	38
Memorize_minus_Ignore	14	1.32	24
Memorize_minus_Ignore	16	1.32	29
Memorize_minus_Ignore	18	1.32	38
Memorize_minus_Ignore	20	1.32	12
Memorize_minus_Ignore	22	1.32	11
Memorize_minus_Ignore	24	1.32	8
Memorize_minus_Ignore	26	1.32	0
Memorize_minus_Ignore	28	1.32	0
Memorize_minus_Ignore	30	1.32	0
Memorize_minus_Ignore	4	1.36	0
Memorize_minus_Ignore	6	1.36	7
Memorize_minus_Ignore	8	1.36	41
Memorize_minus_Ignore	10	1.36	46
Memorize_minus_Ignore	12	1.36	45
Memorize_minus_Ignore	14	1.36	25
Memorize_minus_Ignore	16	1.36	26
Memorize_minus_Ignore	18	1.36	32
Memorize_minus_Ignore	20	1.36	43
Memorize_minus_Ignore	22	1.36	29
Memorize_minus_Ignore	24	1.36	0
Memorize_minus_Ignore	26	1.36	0
Memorize_minus_Ignore	28	1.36	0
Memorize_minus_Ignore	30	1.36	0
Memorize_minus_Ignore	4	1.4	0
Memorize_minus_Ignore	6	1.4	14
Memorize_minus_Ignore	8	1.4	43
Memorize_minus_Ignore	10	1.4	49
Memorize_minus_Ignore	12	1.4	46
Memorize_minus_Ignore	14	1.4	13
Memorize_minus_Ignore	16	1.4	4
Memorize_minus_Ignore	18	1.4	0
Memorize_minus_Ignore	20	1.4	0
Memorize_minus_Ignore	22	1.4	0
Memorize_minus_Ignore	24	1.4	0
Memorize_minus_Ignore	26	1.4	0
Memorize_minus_Ignore	28	1.4	0
Memorize_minus_Ignore	30	1.4	0
Probe_minus_Memorize	4	0	0
Probe_minus_Memorize	6	0	0
Probe_minus_Memorize	8	0	17
Probe_minus_Memorize	10	0	22
Probe_minus_Memorize	12	0	5
Probe_minus_Memorize	14	0	0
Probe_minus_Memorize	16	0	0
Probe_minus_Memorize	18	0	0
Probe_minus_Memorize	20	0	0
Probe_minus_Memorize	22	0	0
Probe_minus_Memorize	24	0	0
Probe_minus_Memorize	26	0	0
Probe_minus_Memorize	28	0	0
Probe_minus_Memorize	30	0	0
Probe_minus_Memorize	4	0.04	0
