contrast	frequency_hz	time_s	sensor_average_difference_db
Memorize_minus_Ignore	26	1.24	-0.0694127068874133
Memorize_minus_Ignore	28	1.24	-0.078779530753035
Memorize_minus_Ignore	30	1.24	-0.0388313452831294
Memorize_minus_Ignore	4	1.28	-0.132366587672871
Memorize_minus_Ignore	6	1.28	-0.179245295968058
Memorize_minus_Ignore	8	1.28	-0.39683824555306
Memorize_minus_Ignore	10	1.28	-0.456028432902099
Memorize_minus_Ignore	12	1.28	-0.322104725699623
Memorize_minus_Ignore	14	1.28	-0.170393267724107
Memorize_minus_Ignore	16	1.28	-0.105002819157123
Memorize_minus_Ignore	18	1.28	-0.133238322791135
Memorize_minus_Ignore	20	1.28	-0.140245046875
Memorize_minus_Ignore	22	1.28	-0.153911865020004
Memorize_minus_Ignore	24	1.28	-0.151113143105993
Memorize_minus_Ignore	26	1.28	-0.129575816063124
Memorize_minus_Ignore	28	1.28	-0.0845573335334619
Memorize_minus_Ignore	30	1.28	-0.046678300649172
Memorize_minus_Ignore	4	1.32	-0.153920831964563
Memorize_minus_Ignore	6	1.32	-0.227042563455444
Memorize_minus_Ignore	8	1.32	-0.427495408782849
Memorize_minus_Ignore	10	1.32	-0.472366683702967
Memorize_minus_Ignore	12	1.32	-0.367246884543424
Memorize_minus_Ignore	14	1.32	-0.271252386065274
Memorize_minus_Ignore	16	1.32	-0.256543561366712
Memorize_minus_Ignore	18	1.32	-0.28484159519828
Memorize_minus_Ignore	20	1.32	-0.238723324052589
Memorize_minus_Ignore	22	1.32	-0.192626931079935
Memorize_minus_Ignore	24	1.32	-0.167240385537845
Memorize_minus_Ignore	26	1.32	-0.138471796738022
Memorize_minus_Ignore	28	1.32	-0.0927260071065319
Memorize_minus_Ignore	30	1.32	-0.0589880883580005
Memorize_minus_Ignore	4	1.36	-0.171052657365855
Memorize_minus_Ignore	6	1.36	-0.276771992682008
Memorize_minus_Ignore	8	1.36	-0.452962825828636
Memorize_minus_Ignore	10	1.36	-0.494768282953485
Memorize_minus_Ignore	12	1.36	-0.383787145980221
Memorize_minus_Ignore	14	1.36	-0.294487231354974
Memorize_minus_Ignore	16	1.36	-0.296347665641376
Memorize_minus_Ignore	18	1.36	-0.299058263894115
Memorize_minus_Ignore	20	1.36	-0.291762607316101
Memorize_minus_Ignore	22	1.36	-0.241538452821171
Memorize_minus_Ignore	24	1.36	-0.180295637435306
